fixture_id,time_casa,time_fora,escanteios_casa,escanteios_fora,chutes_casa,chutes_fora,chutes_gol_casa,chutes_gol_fora
1570391,Rayo Vallecano,Espanyol,3,5,16,19,2,5
1570383,Alaves,Valencia,2,5,15,10,3,3
1570388,Elche,Real Madrid,2,5,11,20,3,4
1630778,Platense,Fluminense,12,0,16,7,6,2
1570384,Atletico Madrid,Osasuna,8,0,27,3,11,1
1570387,Deportivo La Coruna,Sevilla,4,4,4,11,3,6
1570385,Barcelona,Racing Santander,18,0,30,5,9,3
1631509,LDU de Quito,Palmeiras,10,4,16,11,5,4
1492311,Botafogo,Gremio,3,3,10,13,7,3
1631508,Corinthians,Estudiantes L.P.,3,4,9,6,2,2
1570386,Real Betis,Getafe,4,3,22,8,8,2
1570390,Malaga,Villarreal,4,8,5,16,1,7
1635387,Flamengo,Independiente del Valle,5,3,10,8,3,4
1575167,Bayern München,Union Berlin,9,2,23,3,15,2
1550133,Monza,Sassuolo,7,5,15,20,6,8
1552769,Monaco,Lens,2,8,9,12,6,4
1557408,Brentford,Chelsea,4,12,13,12,6,2
1570397,Espanyol,Elche,3,3,23,9,4,6
1557416,Tottenham,Aston Villa,11,1,20,15,7,6
1570399,Osasuna,Rayo Vallecano,4,4,10,19,3,2
1550129,Bologna,Torino,1,6,11,14,1,3
1550135,Udinese,Cagliari,16,1,26,5,5,2
1575170,Eintracht Frankfurt,SC Freiburg,3,5,10,22,3,7
1575171,Hamburger SV,1. FC Köln,3,5,12,18,7,5
1575172,Werder Bremen,FC Augsburg,2,2,20,7,11,4
1575174,Borussia Mönchengladbach,FSV Mainz 05,6,4,21,17,7,8
1557409,Brighton,Arsenal,5,6,17,11,5,2
1557410,Everton,Ipswich,4,4,21,13,2,4
1557414,Newcastle,Hull City,4,7,12,22,5,4
1570393,Athletic Club,Alaves,5,1,24,2,6,0
1552771,Paris FC,Strasbourg,3,0,17,5,7,1
1570395,Celta Vigo,Racing Santander,3,3,13,11,9,5
1575168,VfB Stuttgart,Borussia Dortmund,6,2,12,13,5,2
1550136,Venezia,Lazio,7,2,17,11,6,2
1552765,Angers,Estac Troyes,2,11,12,19,3,3
1552767,Le Mans,Lorient,1,3,11,9,7,2
1552768,Lyon,Rennes,3,8,15,13,9,4
1552772,Toulouse,Le Havre,6,7,14,18,5,7
1492381,Atletico-MG,Chapecoense-sc,11,2,26,7,11,1
1550128,AS Roma,Inter,4,2,18,16,4,5
1557415,Nottingham Forest,Coventry,6,2,24,10,3,3
1570400,Sevilla,Barcelona,1,3,7,24,3,7
1492385,Mirassol,Botafogo,3,4,12,12,7,5
1492386,Remo,Santos,5,4,14,11,4,4
1492388,Vasco DA Gama,Coritiba,12,2,32,4,11,1
1492387,Sao Paulo,Internacional,3,3,6,13,1,1
1550130,Fiorentina,Napoli,4,5,17,13,4,5
1570398,Getafe,Malaga,5,9,20,11,7,4
1550131,Frosinone,Como,7,8,22,27,6,8
1550134,Parma,Genoa,2,5,5,12,2,5
1552766,Auxerre,Stade Brestois 29,8,3,11,8,4,2
1557407,Bournemouth,Liverpool,3,3,9,12,2,3
1557412,Leeds,Crystal Palace,4,3,13,12,2,4
1557413,Manchester City,Sunderland,6,5,16,17,6,9
1575169,Bayer Leverkusen,RB Leipzig,9,6,18,12,6,3
1492384,Gremio,Palmeiras,2,9,7,31,4,10
1570394,Atletico Madrid,Real Madrid,3,1,18,8,9,3
1552770,Nice,Lille,3,7,10,21,4,8
1557411,Fulham,Manchester United,3,13,12,29,6,6
1575173,FC Schalke 04,SV Elversberg,4,4,13,11,1,1
1550132,Juventus,Atalanta,4,5,14,11,5,2
1570396,Deportivo La Coruna,Real Betis,11,5,24,11,7,4
1570402,Villarreal,Levante,7,1,21,6,7,1
1575175,SC Paderborn 07,1899 Hoffenheim,6,5,13,23,5,2
1550127,AC Milan,Lecce,2,3,10,6,4,3
1552773,Marseille,Paris Saint Germain,3,7,12,31,4,10
1492382,Corinthians,Fluminense,11,1,20,10,7,6
1492389,Vitoria,Cruzeiro,8,2,21,13,8,5
1570401,Valencia,Real Sociedad,7,5,22,21,5,6
1492383,Flamengo,RB Bragantino,2,5,11,15,6,5
1492380,Atletico Paranaense,Bahia,6,3,11,10,6,3
