data_jogo,fixture_id,liga,time_casa,time_fora,mercado,linha,prob_over,odd_justa,total_esperado,resultado_real,hit
2026-09-24,1545601,UEFA Nations League,Andorra,Malta,escanteios,7.5,65.4,1.528,9.6,,
2026-09-24,1545601,UEFA Nations League,Andorra,Malta,escanteios,8.5,55.8,1.792,9.6,,
2026-09-24,1545601,UEFA Nations League,Andorra,Malta,escanteios,9.5,46.4,2.155,9.6,,
2026-09-24,1545601,UEFA Nations League,Andorra,Malta,escanteios,10.5,37.6,2.657,9.6,,
2026-09-24,1545601,UEFA Nations League,Andorra,Malta,chutes,18.5,86.1,1.161,28.82,,
2026-09-24,1545601,UEFA Nations League,Andorra,Malta,chutes,20.5,79.0,1.267,28.82,,
2026-09-24,1545601,UEFA Nations League,Andorra,Malta,chutes,22.5,70.4,1.421,28.82,,
2026-09-24,1545601,UEFA Nations League,Andorra,Malta,chutes,24.5,60.8,1.646,28.82,,
2026-09-24,1545601,UEFA Nations League,Andorra,Malta,chutes_gol,6.5,79.3,1.262,9.64,,
2026-09-24,1545601,UEFA Nations League,Andorra,Malta,chutes_gol,7.5,69.6,1.438,9.64,,
2026-09-24,1545601,UEFA Nations League,Andorra,Malta,chutes_gol,8.5,58.9,1.698,9.64,,
2026-09-24,1545601,UEFA Nations League,Andorra,Malta,chutes_gol,9.5,48.1,2.081,9.64,,
2026-09-24,1528862,UEFA Nations League,Netherlands,Germany,escanteios,7.5,65.4,1.528,9.6,,
2026-09-24,1528862,UEFA Nations League,Netherlands,Germany,escanteios,8.5,55.8,1.792,9.6,,
2026-09-24,1528862,UEFA Nations League,Netherlands,Germany,escanteios,9.5,46.4,2.155,9.6,,
2026-09-24,1528862,UEFA Nations League,Netherlands,Germany,escanteios,10.5,37.6,2.657,9.6,,
2026-09-24,1528862,UEFA Nations League,Netherlands,Germany,chutes,18.5,86.1,1.161,28.82,,
2026-09-24,1528862,UEFA Nations League,Netherlands,Germany,chutes,20.5,79.0,1.267,28.82,,
2026-09-24,1528862,UEFA Nations League,Netherlands,Germany,chutes,22.5,70.4,1.421,28.82,,
2026-09-24,1528862,UEFA Nations League,Netherlands,Germany,chutes,24.5,60.8,1.646,28.82,,
2026-09-24,1528862,UEFA Nations League,Netherlands,Germany,chutes_gol,6.5,79.3,1.262,9.64,,
2026-09-24,1528862,UEFA Nations League,Netherlands,Germany,chutes_gol,7.5,69.6,1.438,9.64,,
2026-09-24,1528862,UEFA Nations League,Netherlands,Germany,chutes_gol,8.5,58.9,1.698,9.64,,
2026-09-24,1528862,UEFA Nations League,Netherlands,Germany,chutes_gol,9.5,48.1,2.081,9.64,,
2026-09-24,1528863,UEFA Nations League,Serbia,Greece,escanteios,7.5,65.4,1.528,9.6,,
2026-09-24,1528863,UEFA Nations League,Serbia,Greece,escanteios,8.5,55.8,1.792,9.6,,
2026-09-24,1528863,UEFA Nations League,Serbia,Greece,escanteios,9.5,46.4,2.155,9.6,,
2026-09-24,1528863,UEFA Nations League,Serbia,Greece,escanteios,10.5,37.6,2.657,9.6,,
2026-09-24,1528863,UEFA Nations League,Serbia,Greece,chutes,18.5,86.1,1.161,28.82,,
2026-09-24,1528863,UEFA Nations League,Serbia,Greece,chutes,20.5,79.0,1.267,28.82,,
2026-09-24,1528863,UEFA Nations League,Serbia,Greece,chutes,22.5,70.4,1.421,28.82,,
2026-09-24,1528863,UEFA Nations League,Serbia,Greece,chutes,24.5,60.8,1.646,28.82,,
2026-09-24,1528863,UEFA Nations League,Serbia,Greece,chutes_gol,6.5,79.3,1.262,9.64,,
2026-09-24,1528863,UEFA Nations League,Serbia,Greece,chutes_gol,7.5,69.6,1.438,9.64,,
2026-09-24,1528863,UEFA Nations League,Serbia,Greece,chutes_gol,8.5,58.9,1.698,9.64,,
2026-09-24,1528863,UEFA Nations League,Serbia,Greece,chutes_gol,9.5,48.1,2.081,9.64,,
2026-09-24,1528864,UEFA Nations League,Portugal,Wales,escanteios,7.5,65.4,1.528,9.6,,
2026-09-24,1528864,UEFA Nations League,Portugal,Wales,escanteios,8.5,55.8,1.792,9.6,,
2026-09-24,1528864,UEFA Nations League,Portugal,Wales,escanteios,9.5,46.4,2.155,9.6,,
2026-09-24,1528864,UEFA Nations League,Portugal,Wales,escanteios,10.5,37.6,2.657,9.6,,
2026-09-24,1528864,UEFA Nations League,Portugal,Wales,chutes,18.5,86.1,1.161,28.82,,
2026-09-24,1528864,UEFA Nations League,Portugal,Wales,chutes,20.5,79.0,1.267,28.82,,
2026-09-24,1528864,UEFA Nations League,Portugal,Wales,chutes,22.5,70.4,1.421,28.82,,
2026-09-24,1528864,UEFA Nations League,Portugal,Wales,chutes,24.5,60.8,1.646,28.82,,
2026-09-24,1528864,UEFA Nations League,Portugal,Wales,chutes_gol,6.5,79.3,1.262,9.64,,
2026-09-24,1528864,UEFA Nations League,Portugal,Wales,chutes_gol,7.5,69.6,1.438,9.64,,
2026-09-24,1528864,UEFA Nations League,Portugal,Wales,chutes_gol,8.5,58.9,1.698,9.64,,
2026-09-24,1528864,UEFA Nations League,Portugal,Wales,chutes_gol,9.5,48.1,2.081,9.64,,
2026-09-24,1528865,UEFA Nations League,Norway,Denmark,escanteios,7.5,65.4,1.528,9.6,,
2026-09-24,1528865,UEFA Nations League,Norway,Denmark,escanteios,8.5,55.8,1.792,9.6,,
2026-09-24,1528865,UEFA Nations League,Norway,Denmark,escanteios,9.5,46.4,2.155,9.6,,
2026-09-24,1528865,UEFA Nations League,Norway,Denmark,escanteios,10.5,37.6,2.657,9.6,,
2026-09-24,1528865,UEFA Nations League,Norway,Denmark,chutes,18.5,86.1,1.161,28.82,,
2026-09-24,1528865,UEFA Nations League,Norway,Denmark,chutes,20.5,79.0,1.267,28.82,,
2026-09-24,1528865,UEFA Nations League,Norway,Denmark,chutes,22.5,70.4,1.421,28.82,,
2026-09-24,1528865,UEFA Nations League,Norway,Denmark,chutes,24.5,60.8,1.646,28.82,,
2026-09-24,1528865,UEFA Nations League,Norway,Denmark,chutes_gol,6.5,79.3,1.262,9.64,,
2026-09-24,1528865,UEFA Nations League,Norway,Denmark,chutes_gol,7.5,69.6,1.438,9.64,,
2026-09-24,1528865,UEFA Nations League,Norway,Denmark,chutes_gol,8.5,58.9,1.698,9.64,,
2026-09-24,1528865,UEFA Nations League,Norway,Denmark,chutes_gol,9.5,48.1,2.081,9.64,,
2026-09-24,1528878,UEFA Nations League,Austria,Israel,escanteios,7.5,65.4,1.528,9.6,,
2026-09-24,1528878,UEFA Nations League,Austria,Israel,escanteios,8.5,55.8,1.792,9.6,,
2026-09-24,1528878,UEFA Nations League,Austria,Israel,escanteios,9.5,46.4,2.155,9.6,,
2026-09-24,1528878,UEFA Nations League,Austria,Israel,escanteios,10.5,37.6,2.657,9.6,,
2026-09-24,1528878,UEFA Nations League,Austria,Israel,chutes,18.5,86.1,1.161,28.82,,
2026-09-24,1528878,UEFA Nations League,Austria,Israel,chutes,20.5,79.0,1.267,28.82,,
2026-09-24,1528878,UEFA Nations League,Austria,Israel,chutes,22.5,70.4,1.421,28.82,,
2026-09-24,1528878,UEFA Nations League,Austria,Israel,chutes,24.5,60.8,1.646,28.82,,
2026-09-24,1528878,UEFA Nations League,Austria,Israel,chutes_gol,6.5,79.3,1.262,9.64,,
2026-09-24,1528878,UEFA Nations League,Austria,Israel,chutes_gol,7.5,69.6,1.438,9.64,,
2026-09-24,1528878,UEFA Nations League,Austria,Israel,chutes_gol,8.5,58.9,1.698,9.64,,
2026-09-24,1528878,UEFA Nations League,Austria,Israel,chutes_gol,9.5,48.1,2.081,9.64,,
2026-09-24,1528879,UEFA Nations League,Kosovo,Rep. Of Ireland,escanteios,7.5,65.4,1.528,9.6,,
2026-09-24,1528879,UEFA Nations League,Kosovo,Rep. Of Ireland,escanteios,8.5,55.8,1.792,9.6,,
2026-09-24,1528879,UEFA Nations League,Kosovo,Rep. Of Ireland,escanteios,9.5,46.4,2.155,9.6,,
2026-09-24,1528879,UEFA Nations League,Kosovo,Rep. Of Ireland,escanteios,10.5,37.6,2.657,9.6,,
2026-09-24,1528879,UEFA Nations League,Kosovo,Rep. Of Ireland,chutes,18.5,86.1,1.161,28.82,,
2026-09-24,1528879,UEFA Nations League,Kosovo,Rep. Of Ireland,chutes,20.5,79.0,1.267,28.82,,
2026-09-24,1528879,UEFA Nations League,Kosovo,Rep. Of Ireland,chutes,22.5,70.4,1.421,28.82,,
2026-09-24,1528879,UEFA Nations League,Kosovo,Rep. Of Ireland,chutes,24.5,60.8,1.646,28.82,,
2026-09-24,1528879,UEFA Nations League,Kosovo,Rep. Of Ireland,chutes_gol,6.5,79.3,1.262,9.64,,
2026-09-24,1528879,UEFA Nations League,Kosovo,Rep. Of Ireland,chutes_gol,7.5,69.6,1.438,9.64,,
2026-09-24,1528879,UEFA Nations League,Kosovo,Rep. Of Ireland,chutes_gol,8.5,58.9,1.698,9.64,,
2026-09-24,1528879,UEFA Nations League,Kosovo,Rep. Of Ireland,chutes_gol,9.5,48.1,2.081,9.64,,
2026-09-24,1528880,UEFA Nations League,Liechtenstein,Lithuania,escanteios,7.5,65.4,1.528,9.6,,
2026-09-24,1528880,UEFA Nations League,Liechtenstein,Lithuania,escanteios,8.5,55.8,1.792,9.6,,
2026-09-24,1528880,UEFA Nations League,Liechtenstein,Lithuania,escanteios,9.5,46.4,2.155,9.6,,
2026-09-24,1528880,UEFA Nations League,Liechtenstein,Lithuania,escanteios,10.5,37.6,2.657,9.6,,
2026-09-24,1528880,UEFA Nations League,Liechtenstein,Lithuania,chutes,18.5,86.1,1.161,28.82,,
2026-09-24,1528880,UEFA Nations League,Liechtenstein,Lithuania,chutes,20.5,79.0,1.267,28.82,,
2026-09-24,1528880,UEFA Nations League,Liechtenstein,Lithuania,chutes,22.5,70.4,1.421,28.82,,
2026-09-24,1528880,UEFA Nations League,Liechtenstein,Lithuania,chutes,24.5,60.8,1.646,28.82,,
2026-09-24,1528880,UEFA Nations League,Liechtenstein,Lithuania,chutes_gol,6.5,79.3,1.262,9.64,,
2026-09-24,1528880,UEFA Nations League,Liechtenstein,Lithuania,chutes_gol,7.5,69.6,1.438,9.64,,
2026-09-24,1528880,UEFA Nations League,Liechtenstein,Lithuania,chutes_gol,8.5,58.9,1.698,9.64,,
2026-09-24,1528880,UEFA Nations League,Liechtenstein,Lithuania,chutes_gol,9.5,48.1,2.081,9.64,,
2026-09-25,1528881,UEFA Nations League,Georgia,Northern Ireland,escanteios,7.5,65.4,1.528,9.6,,
2026-09-25,1528881,UEFA Nations League,Georgia,Northern Ireland,escanteios,8.5,55.8,1.792,9.6,,
2026-09-25,1528881,UEFA Nations League,Georgia,Northern Ireland,escanteios,9.5,46.4,2.155,9.6,,
2026-09-25,1528881,UEFA Nations League,Georgia,Northern Ireland,escanteios,10.5,37.6,2.657,9.6,,
2026-09-25,1528881,UEFA Nations League,Georgia,Northern Ireland,chutes,18.5,86.1,1.161,28.82,,
2026-09-25,1528881,UEFA Nations League,Georgia,Northern Ireland,chutes,20.5,79.0,1.267,28.82,,
2026-09-25,1528881,UEFA Nations League,Georgia,Northern Ireland,chutes,22.5,70.4,1.421,28.82,,
2026-09-25,1528881,UEFA Nations League,Georgia,Northern Ireland,chutes,24.5,60.8,1.646,28.82,,
2026-09-25,1528881,UEFA Nations League,Georgia,Northern Ireland,chutes_gol,6.5,79.3,1.262,9.64,,
2026-09-25,1528881,UEFA Nations League,Georgia,Northern Ireland,chutes_gol,7.5,69.6,1.438,9.64,,
2026-09-25,1528881,UEFA Nations League,Georgia,Northern Ireland,chutes_gol,8.5,58.9,1.698,9.64,,
2026-09-25,1528881,UEFA Nations League,Georgia,Northern Ireland,chutes_gol,9.5,48.1,2.081,9.64,,
2026-09-25,1545602,UEFA Nations League,Armenia,Latvia,escanteios,7.5,65.4,1.528,9.6,,
2026-09-25,1545602,UEFA Nations League,Armenia,Latvia,escanteios,8.5,55.8,1.792,9.6,,
